Time,ATCC,ADK,ARK,BAY,BCC,BTS,BTC,BCH,BTCD,BDL,BLK,BLOCK,BURST,GBYTE,BCN,CLAM,CLOAK,CMP,XCP,CRW,DCT,DASH,DCR,DMD,DGB,XDN,DOGE,ECN,EMC2,XEL,EMC,ENRG,ETH,ETC,EXP,FCT,FAIR,FRST,GXS,GAM,GAME,GOLOS,GRC,GRS,NLG,HSR,IOC,ION,MIOTA,KMD,LBC,LEO,LSK,LTC,LKK,ETP,MONA,XMR,MUE,MOON,NAV,XEM,NEO,NMC,NEBL,NXS,NLC2,NXT,OK,OMNI,PIVX,PART,PPC,POT,RADS,RDD,XRP,RISE,RBY,SIB,SLS,SHIFT,SC,SKY,SPR,SPRTS,STEEM,XLM,STRAT,SYS,TCC,UBQ,UNO,XVG,VTC,VIA,WAVES,XZC,ZEC,ZEN
2014-01-05,0,0,0,0,0,0,0,0,0,0,10465700000,0,0,0,0,0,0,0,0,0,0,0,357110,6318730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615008000,0,0,0,0,0,0,0,0,0,59341600,0,62959900,0,107272000,0,0,0,151010000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258408,0,0,0,0,0,0,0,0,0,219665000,0,0,0,0
2014-01-06,0,0,0,0,0,0,0,0,0,0,11410400000,0,0,0,0,0,0,0,0,0,0,0,354793,5899650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661917000,0,0,0,0,0,0,0,0,0,60395000,0,52634100,0,115923000,0,0,0,151107000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703385,0,0,0,0,0,0,0,0,0,197774000,0,0,0,0
2014-01-07,0,0,0,0,0,0,0,0,0,0,11571400000,0,0,0,0,0,0,0,0,0,0,0,360763,5726300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,720229000,0,0,0,0,0,0,0,0,0,61058200,0,52323700,0,108863000,0,0,0,147636000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,648700,0,0,0,0,0,0,0,0,0,201691000,0,0,0,0
2014-01-08,0,0,0,0,0,0,0,0,0,0,9734800000,0,0,0,0,0,0,0,0,0,0,0,271725,5159610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,563356000,0,0,72279,0,0,0,0,0,0,45225300,0,32241500,0,97017700,0,0,0,112295000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,551605,0,0,0,0,0,0,0,0,0,178440000,0,0,0,0
2014-01-09,0,0,0,0,0,0,0,0,0,0,10295100000,0,0,0,0,0,0,0,0,0,0,0,282739,5415010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604687000,0,0,82925,0,0,0,0,0,0,50268800,0,39889800,0,89044400,0,0,0,127214000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637164,0,0,0,0,0,0,0,0,0,179784000,0,0,0,0
2014-01-10,0,0,0,0,0,0,0,0,0,0,10363300000,0,0,0,0,0,0,0,0,0,0,0,267438,6034890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,604555000,0,0,134577,0,0,0,0,0,0,50513600,0,44049800,0,93619800,0,0,0,126579000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727685,0,0,0,0,0,0,0,0,0,174864000,0,0,0,0
2014-01-11,0,0,0,0,0,0,0,0,0,0,10619900000,0,0,0,0,0,0,0,0,0,0,0,263945,9428560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618545000,0,0,115151,0,0,0,0,0,0,52134400,0,44117000,0,107856000,0,0,0,132030000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,724978,0,0,0,0,0,0,0,0,0,177631000,0,0,0,0
2014-01-12,0,0,0,0,0,0,0,0,0,0,11264800000,0,0,0,0,0,0,0,0,0,0,0,165827,9321690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670489000,0,0,144114,0,0,0,0,0,0,53500500,0,44743000,0,111126000,0,0,0,137354000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749455,0,0,0,0,0,0,0,0,0,188894000,0,0,0,0
2014-01-13,0,0,0,0,0,0,0,0,0,0,10541500000,0,0,0,0,0,0,0,0,0,0,0,222900,9175880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,623662000,0,0,108754,0,0,0,0,0,0,50576900,0,40374600,0,108685000,0,0,0,129411000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743918,0,0,0,0,0,0,0,0,0,171688000,0,0,0,0
2014-01-14,0,0,0,0,0,0,0,0,0,0,10336500000,0,0,0,0,0,0,0,0,0,0,0,261250,7619940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,603213000,0,0,77227,0,0,0,0,0,0,49574800,0,38058900,0,80845000,0,0,0,126511000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,553580,0,0,0,0,0,0,0,0,0,169835000,0,0,0,0
